Nome do vendedor;Produto vendido;Quantidade unitária;Valor do produto;Valor da venda;Data da compra;Localização
Anthony Jesus;Produto B;8;35.08;280.64;10/12/2022;MS
Dr. Benjamin Cunha;Produto E;8;72.16;577.28;30/09/2022;PR
Dr. Pedro Melo;Produto C;5;77.85;389.25;04/05/2023;MS
Luana Porto;Produto B;10;18.84;188.4;09/02/2023;CE
Anthony Jesus;Produto C;1;73.77;73.77;04/05/2023;RN
Gabrielly Silveira;Produto C;9;29.15;262.35;22/04/2023;MA
Luiza da Paz;Produto A;8;99.75;798.0;24/04/2023;GO
Enrico Moraes;Produto B;4;34.73;138.92;19/07/2022;RJ
Anthony Jesus;Produto A;9;55.03;495.27;11/01/2023;AC
Mariana Rodrigues;Produto B;5;57.64;288.2;24/04/2023;BA
Ana Clara Campos;Produto E;4;68.68;274.72;03/07/2022;MS
Ana Clara Farias;Produto C;2;55.05;110.1;07/09/2022;MG
Rafael Cardoso;;8;64.27;514.16;25/12/2022;PB
Calebe das Neves;Produto E;6;57.7;346.2;09/07/2022;RO
Isaac Gomes;Produto B;10;60.87;608.7;14/11/2022;PR
Anthony Jesus;Produto D;10;98.07;980.7;08/05/2023;SE
Vitor Gabriel da Mata;Produto D;1;49.22;49.22;02/08/2022;BA
Sofia Moura;Produto B;4;73.09;292.36;22/02/2023;MS
Maria Clara Correia;Produto C;1;16.65;16.65;07/05/2023;CE
Anthony Jesus;Produto C;6;87.71;526.26;30/08/2022;ES
Vinicius Novaes;Produto E;8;23.97;191.76;29/05/2022;RR
Antônio Melo;Produto B;8;45.51;364.08;16/11/2022;AM
Ian Santos;Produto B;1;85.18;85.18;26/09/2022;RR
Daniela Fernandes;Produto B;9;85.83;772.47;08/06/2022;SP
Sophia Nascimento;Produto E;3;31.4;94.2;11/09/2022;MG
Clarice Campos;Produto B;5;47.25;236.25;07/02/2023;PR
Maria da Paz;Produto D;10;34.57;345.7;19/04/2023;CE
Giovanna Nascimento;Produto D;10;78.79;787.9;03/06/2022;PI
Davi Nunes;Produto D;10;90.57;905.7;19/06/2022;AC
Laís Nascimento;Produto E;1;97.03;;28/09/2022;MT
Maria Fernanda Almeida;Produto E;3;34.2;102.6;09/04/2023;AL
Guilherme Silva;Produto E;9;86.72;780.48;06/06/2022;PE
Manuela Pereira;Produto C;7;90.02;630.14;12/07/2022;SE
Benjamin da Paz;Produto A;5;75.2;376.0;20/07/2022;DF
Eduarda da Costa;Produto E;5;77.07;385.35;17/10/2022;PA
Alexandre Gonçalves;Produto E;8;16.86;134.88;27/10/2022;MG
Fernanda Nascimento;Produto A;8;37.58;300.64;06/02/2023;BA
Pedro Miguel Barbosa;Produto C;3;94.84;284.52;17/11/2022;AP
Emanuella Teixeira;Produto C;9;53.57;482.13;22/08/2022;TO
Anthony Jesus;Produto C;10;80.41;804.1;20/06/2022;RR
Amanda Cavalcanti;Produto A;4;58.76;235.04;26/04/2023;GO
Francisco Jesus;Produto B;6;11.71;70.26;19/06/2022;CE
Daniela Ferreira;Produto E;1;89.1;89.1;14/06/2022;AC
Maysa Ferreira;Produto D;5;76.67;383.35;27/04/2023;RJ
Levi Gonçalves;Produto A;3;13.26;39.78;22/12/2022;BA
Ana Castro;Produto A;8;70.85;566.8;23/10/2022;RR
Bianca Silveira;Produto E;8;36.92;295.36;09/01/2023;TO
Maria Luiza Costela;Produto D;10;41.19;411.9;09/09/2022;PE
Sarah das Neves;Produto D;10;66.53;665.3;29/06/2022;RO
Esther Caldeira;Produto A;2;87.03;174.06;03/06/2022;MA
Elisa Farias;Produto B;10;77.37;773.7;28/10/2022;SE
Pedro Miguel Silva;Produto E;5;65.36;326.8;02/03/2023;AL
Dr. Gustavo Henrique das Neves;Produto B;7;81.79;572.53;14/09/2022;CE
Isabella Ribeiro;Produto D;3;34.03;102.09;26/09/2022;RJ
Guilherme Barbosa;Produto B;2;79.12;158.24;05/08/2022;CE
Marina da Cunha;Produto E;9;47.69;429.21;29/07/2022;MG
Anthony Jesus;Produto A;2;34.08;68.16;15/08/2022;PR
Davi Luiz Vieira;Produto A;5;79.25;396.25;13/11/2022;PR
Eduardo Nogueira;Produto B;6;83.34;500.04;26/06/2022;SP
Emanuella Rodrigues;Produto A;7;26.11;182.77;29/03/2023;RN
Anthony Jesus;Produto D;3;38.09;114.27;21/09/2022;MG
Breno Silva;Produto D;8;46.11;368.88;12/08/2022;AL
Dra. Maria Fernanda Cardoso;Produto B;5;27.27;136.35;13/05/2023;BA
Nicolas Santos;Produto E;10;73.67;736.7;11/10/2022;MG
Anthony Jesus;Produto A;10;72.68;726.8;27/01/2023;AP
Murilo Gonçalves;Produto E;3;81.09;243.27;03/02/2023;PI
Gabriela Pinto;Produto B;8;77.64;621.12;30/05/2022;SE
Miguel Barbosa;Produto C;1;20.8;20.8;21/12/2022;PR
Paulo Barbosa;Produto B;2;65.96;131.92;27/06/2022;RJ
Lorena Fogaça;Produto A;4;26.17;104.68;07/08/2022;RR
Fernanda da Rocha;Produto D;8;31.05;248.4;03/03/2023;PR
Renan Barros;Produto A;5;71.92;359.6;05/05/2023;AP
Beatriz Dias;Produto C;5;58.05;290.25;21/02/2023;RJ
Luiz Fernando Cavalcanti;Produto B;10;71.9;719.0;07/12/2022;SP
Anthony Jesus;Produto C;10;26.31;263.1;29/10/2022;DF
Alice Freitas;Produto B;10;52.04;520.4;03/07/2022;RS
Anthony Jesus;Produto C;5;11.69;58.45;29/03/2023;MT
Arthur da Paz;Produto B;8;71.07;568.56;13/10/2022;PB
Alana Ribeiro;Produto A;8;35.12;280.96;06/06/2022;SE
Nicolas Jesus;;4;81.89;327.56;02/08/2022;PA
Ana Costa;Produto B;7;48.55;339.85;23/05/2022;PA
Anthony Jesus;Produto B;10;36.12;361.2;13/05/2023;PA
Dr. Antônio Nunes;Produto D;6;43.15;258.9;11/08/2022;MG
Heitor Nogueira;Produto B;9;90.23;812.07;05/02/2023;BA
Isabel Costela;Produto E;5;44.06;220.3;19/09/2022;RR
Larissa Freitas;Produto D;10;;341.7;30/11/2022;CE
Alana Teixeira;Produto A;5;44.78;223.9;24/07/2022;AM
Alexandre Freitas;Produto C;7;50.49;353.43;26/07/2022;AC
Ana Vitória Nogueira;Produto E;4;17.88;71.52;25/04/2023;AL
Luiz Gustavo Peixoto;Produto C;9;44.37;399.33;18/08/2022;PI
Dr. Cauê Barbosa;Produto E;9;91.17;820.53;24/02/2023;ES
Yasmin Fernandes;Produto A;1;45.24;45.24;01/06/2022;SP
Dra. Maitê da Mota;Produto E;2;81.69;163.38;03/04/2023;CE
Anthony Jesus;Produto C;3;33.4;100.2;29/05/2022;PR
Anthony Jesus;Produto D;6;27.03;162.18;11/04/2023;SC
Vitória Jesus;Produto D;10;49.31;;15/04/2023;RN
Ana Sophia Vieira;Produto B;7;60.57;423.99;11/01/2023;PR
Fernanda Mendes;Produto C;5;10.41;52.05;08/11/2022;MS
Alice Novaes;Produto C;1;75.65;75.65;28/02/2023;AC
Clarice Cunha;Produto E;5;57.97;289.85;14/12/2022;PB
Carolina Jesus;Produto A;1;17.28;17.28;07/08/2022;RN
Anthony Jesus;Produto A;5;20.34;101.7;30/01/2023;SE
Camila Viana;Produto C;3;63.64;190.92;16/10/2022;SC
Renan Cunha;Produto D;1;60.68;60.68;22/12/2022;RJ
Enrico Campos;Produto E;4;67.93;271.72;27/04/2023;SP
Melissa Martins;Produto B;6;26.8;160.8;04/01/2023;AP
Henrique da Rocha;Produto A;5;97.2;486.0;29/03/2023;ES
Melissa Martins;Produto D;9;62.4;561.6;30/09/2022;RS
Luiz Otávio Mendes;Produto C;9;94.33;848.97;10/06/2022;AM
Melissa Martins;Produto E;6;44.86;269.16;06/10/2022;AC
Giovanna da Cruz;Produto C;1;;87.43;29/06/2022;MA
Lucca Rodrigues;Produto B;5;31.01;155.05;22/10/2022;AP
Dr. Anthony Oliveira;Produto C;7;54.42;380.94;15/03/2023;MT
Melissa Martins;Produto C;6;53.48;320.88;04/07/2022;PB
Leandro Campos;Produto E;9;71.38;642.42;26/04/2023;MG
Dr. Miguel Gomes;Produto D;10;88.3;883.0;19/11/2022;AM
Lorena Teixeira;Produto A;7;24.21;169.47;12/10/2022;AP
Isis Barbosa;Produto D;1;32.96;32.96;26/01/2023;PI
João da Conceição;Produto B;8;67.09;536.72;12/10/2022;CE
Kaique da Cruz;Produto D;5;43.59;217.95;08/11/2022;SC
Alícia Azevedo;Produto A;9;46.42;417.78;28/05/2022;MA
Dr. Anthony Oliveira;Produto B;8;84.23;673.84;01/09/2022;ES
Melissa Martins;Produto D;5;63.0;315.0;18/05/2023;MS
Lucas Gabriel Carvalho;Produto E;3;52.81;158.43;25/09/2022;AP
Ryan Teixeira;Produto E;4;19.24;76.96;27/02/2023;RR
Melissa Martins;Produto E;4;79.46;317.84;08/12/2022;PI
Melissa Martins;Produto A;4;21.71;86.84;19/07/2022;TO
João Vitor da Costa;Produto A;10;30.59;305.9;08/09/2022;SE
Maria Luiza Cardoso;Produto D;10;41.06;410.6;10/03/2023;SP
Milena Fernandes;Produto C;1;23.39;23.39;09/10/2022;RO
Brenda Costela;Produto A;5;18.89;94.45;27/09/2022;AC
Caio Azevedo;Produto B;5;73.16;365.8;01/12/2022;PE
Vinicius Gonçalves;Produto B;9;15.67;141.03;16/07/2022;RS
Mirella Pires;Produto A;5;25.03;125.15;14/09/2022;CE
Camila Vieira;Produto E;7;20.15;141.05;18/10/2022;MG
Ana Laura Moraes;Produto D;9;29.41;264.69;18/04/2023;RJ
Lucca da Conceição;Produto A;9;31.35;282.15;26/12/2022;AM
Maria Alice Cunha;Produto B;6;78.15;468.9;09/01/2023;PB
Arthur Carvalho;Produto B;3;22.23;66.69;28/03/2023;PB
Melissa Martins;Produto B;10;15.97;159.7;15/02/2023;SC
Caio da Rocha;Produto D;1;38.97;38.97;28/09/2022;MG
Ana Clara Melo;Produto A;1;19.92;19.92;16/08/2022;RN
Vitor Hugo Santos;Produto E;7;91.74;642.18;12/05/2023;PI
Bernardo Peixoto;Produto A;7;90.01;630.07;10/04/2023;ES
Emanuella Gonçalves;Produto D;8;97.01;776.08;02/03/2023;PA
Davi Lucas Castro;Produto B;9;51.22;460.98;10/12/2022;PR
Olivia da Conceição;Produto D;3;67.11;201.33;25/10/2022;RN
Melissa Martins;Produto B;4;56.33;225.32;09/02/2023;RJ
Melissa Martins;Produto D;2;56.72;113.44;19/03/2023;MG
Ana Beatriz Correia;;4;37.72;150.88;18/04/2023;RS
Raquel da Conceição;Produto A;4;20.22;80.88;12/01/2023;RR
Ana Júlia da Rocha;Produto A;10;56.79;567.9;14/04/2023;ES
Calebe Gomes;Produto C;5;70.16;350.8;21/03/2023;SE
Dra. Gabrielly Martins;Produto A;5;91.86;459.3;19/12/2022;PE
Dra. Ana Julia Caldeira;Produto B;1;75.33;75.33;23/10/2022;DF
Clara Vieira;Produto E;2;29.44;58.88;19/02/2023;RN
Nicolas Moreira;Produto D;6;68.5;411.0;31/07/2022;SP
Melissa Martins;Produto B;5;74.95;374.75;27/05/2022;RJ
Mariane Pires;Produto A;5;67.48;337.4;03/08/2022;PE
Melissa Martins;Produto C;9;94.56;851.04;21/04/2023;MG
Pedro Araújo;Produto C;6;43.75;262.5;05/09/2022;ES
João Gabriel Porto;Produto C;4;57.13;;18/12/2022;BA
Sarah Novaes;Produto B;6;96.42;578.52;19/11/2022;RS
Lucas Gabriel Caldeira;Produto B;10;36.54;365.4;03/11/2022;MS
Isadora Campos;Produto A;6;10.34;62.04;04/01/2023;RN
Sabrina Monteiro;Produto A;9;39.84;358.56;15/03/2023;PR
Pedro Araújo;Produto D;7;76.12;532.84;24/05/2022;PE
Marcelo Campos;Produto B;2;58.31;116.62;14/06/2022;RR
Dr. Enrico da Mata;Produto E;3;69.92;209.76;20/02/2023;MS
Pietro Martins;Produto B;9;94.52;850.68;25/07/2022;RO
Pedro Araújo;Produto B;3;56.92;170.76;20/04/2023;MS
Laura da Mota;Produto D;6;75.69;454.14;28/01/2023;RS
Larissa Ferreira;Produto C;4;78.37;313.48;26/01/2023;DF
Pedro Araújo;Produto B;10;48.42;484.2;14/01/2023;DF
Ana Laura Silveira;Produto B;4;83.93;335.72;09/07/2022;DF
Luna Ramos;Produto E;7;45.94;321.58;23/10/2022;GO
João Gabriel Azevedo;Produto C;3;99.15;297.45;07/03/2023;AL
Caroline Gomes;Produto B;1;87.41;87.41;05/03/2023;ES
Letícia da Luz;Produto B;3;41.39;124.17;04/07/2022;PE
Cauã Pires;Produto D;3;42.58;127.74;28/06/2022;AP
Paulo da Cunha;Produto B;8;98.64;789.12;27/02/2023;RO
Pietro Nunes;Produto E;7;38.49;269.43;26/01/2023;MS
Breno da Rosa;Produto B;4;;62.56;23/05/2022;MG
Ana Lívia Teixeira;Produto B;7;65.65;459.55;21/02/2023;RN
Luiz Gustavo Barbosa;Produto A;1;20.21;20.21;03/10/2022;PA
Kamilly Ramos;Produto E;3;46.69;140.07;27/03/2023;GO
Manuela da Mota;Produto D;9;12.22;109.98;29/08/2022;RN
Dra. Isabel Mendes;Produto E;7;70.58;494.06;25/02/2023;CE
Raquel Caldeira;Produto C;7;88.04;616.28;06/04/2023;AM
Júlia Viana;Produto E;1;43.63;43.63;10/06/2022;PR
Pedro Araújo;Produto B;10;91.15;911.5;15/06/2022;AC
Luiz Otávio Oliveira;Produto B;7;95.15;666.05;30/01/2023;MT
Dra. Maria Viana;Produto A;4;25.74;102.96;25/01/2023;PI
Ana Dias;Produto D;7;28.21;197.47;27/01/2023;PI
Bryan da Costa;Produto E;2;85.19;170.38;10/01/2023;PI
Maria Fernanda Santos;Produto B;3;21.04;63.12;04/01/2023;PA
Juan Viana;Produto A;4;10.28;41.12;23/07/2022;RR
Felipe Vieira;Produto C;4;24.11;96.44;22/11/2022;SE
Vitória da Paz;Produto C;8;53.29;426.32;25/04/2023;SE
Alícia Campos;Produto C;6;95.78;574.68;25/10/2022;BA
Fernanda Nunes;Produto D;6;40.13;240.78;04/04/2023;GO
Natália Dias;Produto B;1;70.62;70.62;12/01/2023;PI
Amanda Porto;Produto A;4;78.78;315.12;06/11/2022;PR
Enzo Carvalho;Produto C;4;68.06;272.24;19/07/2022;SE
Thiago Pinto;Produto B;9;91.19;820.71;02/06/2022;TO
Caroline Correia;Produto E;6;56.86;341.16;24/06/2022;DF
Maria Ferreira;Produto E;6;26.09;156.54;29/01/2023;PB
Yuri Rocha;Produto B;6;77.45;464.7;12/02/2023;PB
Felipe Pereira;Produto A;6;78.28;469.68;15/03/2023;DF
Lucas da Costa;Produto B;10;38.77;387.7;27/05/2022;PE
Igor da Luz;Produto B;2;48.12;96.24;09/11/2022;RN
Fernando Fogaça;Produto A;8;44.41;355.28;26/06/2022;AL
Ana Lívia da Mata;Produto C;5;82.6;413.0;23/03/2023;PB
Vitor Gabriel Caldeira;Produto D;3;34.07;102.21;10/08/2022;MA
Enrico Aragão;Produto B;10;53.03;530.3;18/09/2022;CE
Isadora Souza;Produto E;1;50.6;50.6;18/10/2022;AL
Ana Lívia Moura;Produto E;2;78.89;157.78;04/10/2022;AP
Elisa Duarte;Produto C;8;98.09;784.72;29/01/2023;RR
Pedro Miguel Duarte;;7;61.35;429.45;13/01/2023;SE
Isadora da Luz;Produto D;10;88.24;882.4;11/09/2022;PA
Luiza Porto;Produto A;4;10.95;43.8;07/12/2022;AP
Marcela Moura;Produto D;9;15.25;137.25;08/05/2023;RS
Gustavo Henrique Novaes;Produto E;4;18.88;75.52;07/06/2022;AL
Daniela Araújo;Produto C;4;60.94;243.76;04/10/2022;AL
Emanuel da Conceição;Produto E;4;18.27;73.08;01/07/2022;GO
Enzo da Mota;Produto C;7;65.11;455.77;21/08/2022;MS
Pedro Araújo;Produto D;6;87.42;524.52;18/01/2023;RR
Rebeca Freitas;Produto D;9;35.4;318.6;03/06/2022;RN
Vitor Hugo Silva;Produto B;1;24.64;24.64;02/12/2022;PA
Lucca Costa;Produto C;4;25.83;;23/08/2022;ES
Pedro Araújo;Produto D;6;86.38;518.28;20/03/2023;SE
Valentina Barros;Produto D;3;32.53;97.59;07/08/2022;PI
Amanda Melo;Produto C;3;15.65;46.95;17/08/2022;MT
Augusto Costa;Produto E;7;19.79;138.53;13/05/2023;RN
Nicolas Farias;Produto C;3;43.2;129.6;18/09/2022;PB
Yuri Ferreira;Produto D;5;20.2;101.0;01/07/2022;SC
Esther Ribeiro;Produto D;5;75.56;377.8;26/04/2023;DF
Ana Correia;Produto D;4;58.19;232.76;09/10/2022;RR
Luiz Miguel Souza;Produto A;4;71.27;285.08;30/09/2022;RO
Rodrigo Rezende;Produto E;10;75.96;759.6;19/04/2023;BA
João Guilherme Moura;Produto C;10;11.73;117.3;31/07/2022;MA
Dra. Sabrina da Paz;Produto D;10;15.35;153.5;11/01/2023;MG
Kevin Nascimento;Produto B;5;90.9;454.5;02/03/2023;AM
Pedro Araújo;Produto C;10;76.26;762.6;20/11/2022;AL
Thales Cardoso;Produto C;8;19.09;152.72;26/09/2022;PR
Pedro Araújo;Produto B;4;95.97;383.88;16/04/2023;PA
Pedro Araújo;Produto A;8;91.83;734.64;30/01/2023;PI
Maria Cecília Mendes;Produto A;8;60.96;487.68;17/09/2022;RR
João das Neves;Produto A;10;48.65;486.5;26/06/2022;SE
João Ramos;Produto B;10;66.88;668.8;02/09/2022;MT
Maria Vitória Silveira;Produto D;4;97.12;388.48;02/02/2023;RR
Pedro Araújo;Produto D;2;30.5;61.0;02/07/2022;RS
João Gabriel Lopes;Produto B;5;15.42;77.1;09/09/2022;SP
Benício Novaes;Produto C;7;57.52;402.64;17/06/2022;AL
Ana Laura Moreira;Produto E;2;66.59;133.18;20/06/2022;MT
Maria Lima;Produto D;8;26.19;209.52;10/06/2022;AP
Ana Laura da Rocha;Produto D;2;47.05;94.1;01/12/2022;TO
Dr. Davi Luiz da Paz;Produto E;2;87.19;174.38;01/10/2022;ES
Caio Nascimento;Produto D;5;80.02;400.1;14/12/2022;MG
Dra. Vitória Freitas;Produto B;3;10.9;32.7;23/07/2022;DF
João Vitor da Cruz;Produto A;9;69.57;626.13;01/12/2022;RO
Maysa Pereira;Produto B;9;53.1;477.9;27/04/2023;SC
Bruno Rocha;Produto E;6;11.09;66.54;31/10/2022;AC
Maria Sophia Jesus;Produto D;6;20.9;125.4;07/10/2022;RN
Ryan Barbosa;Produto D;10;64.44;644.4;24/01/2023;ES
Bianca Moreira;Produto C;6;23.91;143.46;01/02/2023;ES
Dr. Isaac Fogaça;Produto B;10;25.1;251.0;17/11/2022;SE
Dra. Evelyn Costa;Produto A;10;95.7;957.0;17/05/2023;PA
Pedro Araújo;Produto C;7;92.33;646.31;30/07/2022;AM
Luna Costela;Produto C;7;46.73;327.11;25/07/2022;AM
Joana Cavalcanti;Produto C;4;90.89;363.56;24/07/2022;CE
Bryan Lopes;Produto C;1;94.19;94.19;06/04/2023;AC
Pedro Araújo;Produto D;10;39.67;396.7;17/02/2023;PB
Luigi da Costa;Produto E;7;29.6;207.2;02/01/2023;RN
Otávio da Cruz;Produto C;7;67.52;472.64;03/02/2023;AP
Caio Pereira;Produto B;2;13.05;26.1;02/12/2022;RJ
Ryan Nascimento;Produto E;6;82.61;495.66;10/03/2023;SE
Julia Farias;Produto A;4;92.98;371.92;25/08/2022;MG
Dr. Yago da Rosa;Produto A;5;;161.25;22/08/2022;AL
Milena Novaes;Produto D;4;26.99;107.96;22/10/2022;AM
Gustavo Cavalcanti;Produto C;2;19.43;38.86;27/09/2022;AP
Ryan da Mata;Produto E;8;50.51;404.08;08/11/2022;RR
Emanuella da Paz;Produto D;7;39.38;275.66;02/09/2022;RN
Vicente Melo;Produto D;1;85.73;85.73;27/02/2023;AM
João Pedro das Neves;Produto C;5;60.14;300.7;21/03/2023;MS
Agatha Moraes;Produto E;3;59.85;179.55;31/03/2023;AL
João Guilherme Cunha;Produto C;1;67.59;67.59;01/10/2022;AL
Marcelo Almeida;Produto C;3;69.78;209.34;27/10/2022;PE
Enrico Rodrigues;Produto B;7;56.73;397.11;11/09/2022;MS
Maria Julia Pinto;Produto E;2;29.96;59.92;09/05/2023;AM
Davi Luiz Rezende;Produto D;2;60.84;121.68;26/12/2022;MG
Augusto Cavalcanti;Produto D;10;21.6;216.0;08/08/2022;GO
Luna Souza;Produto A;5;96.38;481.9;23/07/2022;MS
Maria Clara Azevedo;Produto C;9;74.27;668.43;04/04/2023;SP
Vinicius Moreira;Produto D;3;27.32;81.96;11/08/2022;MT
João Felipe Carvalho;Produto A;10;46.13;461.3;18/12/2022;ES
Carolina Fernandes;Produto C;9;51.47;463.23;05/11/2022;CE
Luana Jesus;Produto B;2;13.17;26.34;08/09/2022;RS
Larissa da Mota;Produto C;3;39.71;;30/09/2022;TO
Pedro Araújo;Produto B;2;50.21;100.42;11/05/2023;RR
Noah Rezende;Produto B;9;84.97;764.73;01/12/2022;PI
Gustavo Novaes;Produto C;5;62.43;312.15;01/02/2023;PI
Paulo Moreira;Produto E;3;20.75;62.25;16/09/2022;MT
Marcos Vinicius Mendes;Produto B;4;97.41;389.64;31/12/2022;RS
Maria Luiza Castro;Produto B;4;49.78;199.12;10/10/2022;MS
Brenda Nascimento;Produto D;3;50.42;151.26;20/04/2023;RN
Eloah Correia;Produto A;7;78.39;548.73;03/03/2023;SE
Maitê Cavalcanti;Produto C;8;56.29;450.32;25/09/2022;GO
Pedro Araújo;Produto C;7;78.07;546.49;14/09/2022;CE
Dr. João Lucas da Rosa;Produto D;1;17.25;17.25;09/02/2023;RN
Luiza Caldeira;Produto B;1;85.32;85.32;20/03/2023;SP
João Gabriel Pinto;Produto C;4;26.79;107.16;20/02/2023;PB
Emilly Viana;Produto D;3;67.92;203.76;27/01/2023;AC
Ana Júlia Alves;Produto A;6;38.04;228.24;26/02/2023;GO
Eloah da Mota;Produto B;10;60.25;602.5;22/01/2023;MG
Calebe Pereira;Produto B;5;69.52;347.6;15/01/2023;GO
Pedro Araújo;Produto A;3;57.28;171.84;11/10/2022;DF
Elisa da Mata;Produto D;10;97.17;971.7;02/07/2022;PB
Pedro Araújo;Produto C;9;49.08;441.72;15/02/2023;MG
Pedro Araújo;Produto B;7;43.33;303.31;02/07/2022;AC
Pedro Araújo;Produto C;2;26.31;52.62;03/09/2022;RR
Dr. Otávio Nunes;Produto C;9;91.43;822.87;12/12/2022;AP
Theo Lima;Produto A;1;31.16;31.16;31/12/2022;RS
Alana Moraes;Produto E;2;85.2;170.4;23/03/2023;TO
Leandro Melo;Produto C;8;89.94;719.52;20/10/2022;CE
Brenda Lopes;Produto B;8;99.93;799.44;03/09/2022;SC
Anthony Jesus;Produto A;4;20.85;83.4;12/08/2022;RO
Anthony Jesus;Produto D;8;49.82;398.56;05/09/2022;MA
João Gabriel das Neves;Produto C;7;35.22;246.54;21/05/2023;PE
Lara Gonçalves;Produto B;1;36.27;36.27;01/05/2023;GO
Pedro Henrique da Mata;Produto D;8;10.38;83.04;15/11/2022;PI
Yago Silva;Produto A;1;76.93;76.93;24/10/2022;AL
Valentina Nunes;Produto D;1;19.39;19.39;13/11/2022;AC
Dra. Evelyn Novaes;Produto C;10;83.11;831.1;03/09/2022;RJ
Anthony Jesus;Produto A;10;18.34;183.4;29/04/2023;MT
Anthony Jesus;Produto C;4;15.29;61.16;23/03/2023;PR
Nathan Castro;Produto C;4;30.26;121.04;06/08/2022;BA
Daniel Costa;Produto C;3;34.62;103.86;24/09/2022;MA
Davi Lucca Peixoto;Produto A;7;58.9;412.3;03/03/2023;CE
Rodrigo Peixoto;Produto C;5;30.23;151.15;10/07/2022;MT
Joaquim Rezende;Produto B;2;94.82;189.64;19/04/2023;DF
Anthony Jesus;Produto A;3;27.48;82.44;24/02/2023;MG
Júlia Jesus;Produto E;4;59.24;236.96;26/07/2022;GO
Yasmin da Costa;Produto D;5;98.47;492.35;04/09/2022;BA
Clara Moreira;Produto A;4;76.38;305.52;28/04/2023;MA
Pedro Henrique Dias;Produto C;5;54.45;272.25;07/01/2023;PB
Brenda Cunha;Produto E;7;35.38;247.66;19/04/2023;GO
Igor Aragão;Produto C;4;93.25;373.0;21/11/2022;PR
Caroline Duarte;Produto D;8;68.83;550.64;09/07/2022;PR
Maria Vitória Nogueira;Produto D;7;93.37;653.59;20/09/2022;AM
Danilo Cavalcanti;Produto D;2;46.08;92.16;30/12/2022;BA
Catarina Correia;Produto C;9;19.71;177.39;14/11/2022;ES
Nicole Aragão;Produto E;5;92.42;462.1;12/06/2022;RN
Antônio Lima;Produto E;8;36.36;290.88;11/06/2022;AP
Maria Cecília Aragão;Produto E;6;80.03;480.18;19/12/2022;AL
Diego Teixeira;Produto A;7;74.63;522.41;07/12/2022;CE
Lucas Lopes;Produto C;6;73.98;443.88;13/08/2022;TO
Eduarda Alves;Produto E;7;36.68;256.76;16/07/2022;PI
Emanuella Pires;Produto D;5;47.63;238.15;09/05/2023;RJ
Nicole da Paz;Produto D;6;34.44;206.64;11/11/2022;TO
Anthony Jesus;Produto E;4;51.01;204.04;08/11/2022;PB
Lorena Vieira;Produto E;4;48.93;195.72;11/06/2022;MT
Juan Carvalho;Produto A;4;90.83;363.32;23/11/2022;PE
Lucca das Neves;Produto E;5;10.33;51.65;28/01/2023;MS
Evelyn Nunes;Produto B;4;51.24;;19/12/2022;AL
Cecília Dias;Produto E;4;69.36;277.44;11/02/2023;RO
Isabel Almeida;Produto B;1;;91.68;13/04/2023;AC
Gabriela Barros;Produto C;4;94.98;379.92;16/10/2022;PA
Ana Lívia da Paz;Produto A;8;11.22;89.76;18/06/2022;SP
Benício da Paz;Produto B;10;88.55;885.5;21/03/2023;BA
Anthony Jesus;Produto C;3;29.81;89.43;17/11/2022;RS
Otávio Alves;Produto C;3;65.91;197.73;04/08/2022;ES
Larissa Dias;Produto A;10;72.11;721.1;09/05/2023;RR
João Guilherme Nogueira;Produto E;7;35.08;245.56;01/06/2022;SP
Anthony Jesus;Produto B;1;14.51;14.51;21/08/2022;RO
Heloísa Pereira;Produto B;7;31.86;223.02;22/02/2023;RN
Helena Farias;Produto A;9;62.41;561.69;03/07/2022;RJ
Anthony Jesus;Produto D;5;52.05;260.25;29/05/2022;RN
Marcelo Nunes;Produto B;10;68.36;683.6;30/11/2022;RO
Breno Campos;Produto C;2;37.61;75.22;30/10/2022;PE
Rodrigo Oliveira;Produto C;4;49.44;197.76;25/09/2022;MT
Alícia Campos;Produto D;2;93.9;187.8;27/02/2023;AC
Natália Viana;Produto D;1;15.24;15.24;04/04/2023;SP
Carolina Ferreira;Produto B;8;13.08;104.64;22/08/2022;MT
Brenda Carvalho;Produto B;6;51.31;307.86;02/11/2022;CE
Lucca Cardoso;Produto B;10;80.64;806.4;29/07/2022;SP
Mariana da Mata;Produto E;6;20.48;122.88;14/12/2022;RJ
Anthony Jesus;Produto D;5;38.0;190.0;04/10/2022;PE
Davi Lucas Fernandes;Produto B;9;57.89;521.01;11/11/2022;RO
Anthony Jesus;Produto B;8;39.32;314.56;07/04/2023;BA
Beatriz Castro;Produto A;3;34.23;102.69;06/05/2023;TO
Davi Lucas Teixeira;Produto D;10;72.01;720.1;16/10/2022;PI
Letícia da Cunha;Produto A;5;59.81;299.05;09/05/2023;SC
Nina Lopes;Produto C;3;58.38;175.14;18/08/2022;PB
Anthony Jesus;Produto B;5;15.77;78.85;05/02/2023;PE
Dr. Bernardo da Rosa;Produto C;4;61.37;245.48;12/12/2022;RO
Leandro Lessa;Produto D;5;93.17;465.85;06/06/2022;MG
Enrico Caldeira;Produto A;7;43.27;302.89;29/11/2022;RR
Ryan Campos;Produto A;1;95.33;95.33;29/12/2022;BA
Clarice da Rocha;Produto A;5;29.32;146.6;25/01/2023;RR
Eloah Cunha;Produto B;3;19.38;58.14;01/07/2022;RN
