jogador;genero;data_nascimento;jogo;pais;num_vitorias;num_derrotas;total_partidas
Jogador 385;Masculino;22/04/2004;Jogo da velha;Paraguai;46;26;72
Jogador 386;Masculino;07/08/1991;Dama;Argentina;18;47;65
Jogador 387;Masculino;19/03/2001;Dama;Argentina;7;2;9
Jogador 388;Masculino;27/08/1954;Dama;Argentina;4;3;7
Jogador 389;Masculino;01/05/1953;Xadrez;Brasil;9;12;21
Jogador 390;Feminino;18/01/1961;Dama;Brasil;37;50;87
Jogador 391;Masculino;29/02/1988;Xadrez;Paraguai;12;2;14
Jogador 392;Feminino;14/08/1977;Xadrez;Chile;1;16;17
Jogador 393;Feminino;29/04/1969;Xadrez;Argentina;84;1;85
Jogador 394;Masculino;04/09/1981;Dama;Uruguai;2;6;8
Jogador 395;Masculino;02/02/1977;Xadrez;Argentina;31;54;85
Jogador 396;Masculino;21/09/1986;Dama;Argentina;41;45;86
Jogador 397;Masculino;27/04/1992;Dama;Argentina;24;7;31
Jogador 398;Masculino;29/05/1974;Xadrez;Paraguai;8;7;15
Jogador 399;Masculino;28/01/1959;Xadrez;Chile;73;9;82
Jogador 400;Feminino;23/05/1970;Xadrez;Chile;6;2;8
Jogador 401;Masculino;16/07/1998;Jogo da velha;Brasil;14;24;38
Jogador 402;Feminino;13/09/1989;Dama;Argentina;60;18;78
Jogador 403;Masculino;06/09/1999;Jogo da velha;Uruguai;27;11;38
Jogador 404;Masculino;17/08/1980;Xadrez;Paraguai;19;7;26
Jogador 405;Feminino;14/07/1981;Xadrez;Uruguai;4;1;5
Jogador 406;Masculino;06/02/1965;Xadrez;Brasil;15;5;20
Jogador 407;Masculino;02/11/1997;Xadrez;Paraguai;34;16;50
Jogador 408;Feminino;23/11/1970;Xadrez;Brasil;54;28;
Jogador 409;Masculino;18/12/1991;Jogo da velha;Chile;34;58;92
Jogador 410;Feminino;10/04/1995;Xadrez;Paraguai;5;19;24
Jogador 411;Masculino;14/05/1965;Jogo da velha;Paraguai;2;57;59
Jogador 412;Feminino;21/07/1989;Dama;Argentina;1;0;1
Jogador 413;Masculino;07/02/1950;Xadrez;Chile;45;33;78
Jogador 414;Feminino;14/09/1975;Xadrez;Uruguai;3;25;28
Jogador 415;Masculino;05/09/1974;Xadrez;Chile;63;26;89
Jogador 416;Masculino;13/01/1950;Dama;Argentina;31;0;31
Jogador 417;Masculino;20/04/1968;Dama;Uruguai;1;14;15
Jogador 418;Feminino;14/11/1986;Xadrez;Paraguai;54;15;69
Jogador 419;Masculino;26/06/1984;Dama;Argentina;61;1;62
Jogador 420;Masculino;19/08/1977;Jogo da velha;Brasil;52;22;74
Jogador 421;Masculino;29/05/1951;Jogo da velha;Argentina;16;70;86
Jogador 422;Feminino;21/10/2004;Jogo da velha;Chile;14;77;91
Jogador 423;Masculino;09/05/1988;Jogo da velha;Brasil;66;12;78
Jogador 424;Masculino;21/08/1998;Dama;Paraguai;47;30;
Jogador 425;Masculino;11/10/1960;Xadrez;Argentina;29;12;41
Jogador 426;Feminino;15/10/1989;Xadrez;Paraguai;15;28;43
Jogador 427;Masculino;20/03/1956;Xadrez;Brasil;3;2;5
Jogador 428;Feminino;24/10/1974;Jogo da velha;Brasil;17;9;26
Jogador 429;Feminino;19/06/1978;Jogo da velha;Uruguai;6;10;16
Jogador 430;Feminino;22/12/1969;Jogo da velha;Uruguai;75;12;87
Jogador 431;Feminino;23/07/1986;Xadrez;Brasil;3;10;13
Jogador 432;Masculino;14/03/1997;Jogo da velha;Chile;18;32;50
Jogador 433;Masculino;21/12/1965;Jogo da velha;Paraguai;20;33;53
Jogador 434;Feminino;23/02/1964;Dama;Uruguai;30;35;65
Jogador 435;Feminino;22/11/1965;Jogo da velha;Paraguai;49;8;57
Jogador 436;Feminino;06/09/1986;Dama;Brasil;81;14;95
Jogador 437;Feminino;21/09/1964;Dama;Uruguai;41;51;92
Jogador 438;Feminino;09/11/1979;Dama;Chile;27;45;72
Jogador 439;Feminino;05/06/1957;Xadrez;Brasil;52;42;94
Jogador 440;Masculino;15/03/1984;Xadrez;Uruguai;3;14;17
Jogador 441;Feminino;19/03/1959;Xadrez;Brasil;29;22;51
Jogador 442;Feminino;04/12/1958;Xadrez;Paraguai;4;13;17
Jogador 443;Feminino;20/11/1981;Jogo da velha;Chile;54;8;62
Jogador 444;Masculino;16/01/1985;Jogo da velha;Brasil;2;17;19
Jogador 445;Masculino;02/02/1977;Xadrez;Argentina;43;1;44
Jogador 446;Masculino;21/06/1977;Xadrez;Uruguai;1;13;14
Jogador 447;Masculino;15/07/1950;Xadrez;Argentina;8;21;29
Jogador 448;Feminino;30/03/2000;Xadrez;Uruguai;10;9;19
Jogador 449;Masculino;30/03/1976;Jogo da velha;Argentina;5;20;25
Jogador 450;Feminino;04/10/1991;Xadrez;Paraguai;52;25;77
Jogador 451;Feminino;01/09/1976;Dama;Brasil;51;29;80
Jogador 452;Masculino;13/10/1998;Dama;Paraguai;14;16;30
Jogador 453;Feminino;08/04/1956;Xadrez;Chile;42;0;42
Jogador 454;Feminino;21/10/2000;Dama;Paraguai;15;42;
Jogador 455;Masculino;30/04/1951;Xadrez;Paraguai;3;32;35
Jogador 456;Masculino;04/09/1956;Jogo da velha;Argentina;15;3;18
Jogador 457;Feminino;03/02/1990;Dama;Paraguai;7;68;75
Jogador 458;Masculino;27/08/1952;Xadrez;Uruguai;60;32;92
Jogador 459;Masculino;17/06/1999;Jogo da velha;Argentina;23;50;
Jogador 460;Feminino;25/03/1955;Xadrez;Argentina;13;48;61
Jogador 461;Feminino;12/09/1983;Dama;Brasil;11;28;39
Jogador 462;Masculino;22/02/1952;Xadrez;Argentina;82;10;92
Jogador 463;Masculino;27/10/1998;Xadrez;Brasil;2;0;2
Jogador 464;Masculino;28/12/1962;Xadrez;Brasil;32;0;32
Jogador 465;Feminino;13/10/1988;Dama;Brasil;19;16;35
Jogador 466;Feminino;13/01/1998;Xadrez;Argentina;35;14;49
Jogador 467;Masculino;15/05/1965;Xadrez;Paraguai;61;16;77
Jogador 468;Masculino;16/02/1995;Jogo da velha;Uruguai;67;3;70
Jogador 469;Feminino;02/06/1979;Xadrez;Uruguai;2;25;27
Jogador 470;Feminino;03/08/1960;Dama;Paraguai;1;0;1
Jogador 471;Masculino;07/12/1988;Jogo da velha;Argentina;11;79;90
Jogador 472;Masculino;11/11/1982;Xadrez;Paraguai;11;5;16
Jogador 473;Masculino;06/10/2001;Jogo da velha;Brasil;23;46;69
Jogador 474;Feminino;22/10/1977;Xadrez;Uruguai;24;4;
Jogador 475;Masculino;01/05/1964;Xadrez;Brasil;5;9;14
Jogador 476;Feminino;21/04/1969;Jogo da velha;Paraguai;13;6;19
Jogador 477;Feminino;07/10/2004;Dama;Brasil;3;1;4
Jogador 478;Feminino;10/07/1993;Dama;Uruguai;29;30;59
Jogador 479;Masculino;14/08/1975;Dama;Paraguai;50;43;93
Jogador 480;Masculino;25/10/1956;Jogo da velha;Brasil;32;9;41
Jogador 481;Feminino;09/02/2005;Jogo da velha;Argentina;36;1;37
Jogador 482;Masculino;07/05/1992;Xadrez;Paraguai;13;21;34
Jogador 483;Masculino;04/07/1976;Xadrez;Paraguai;46;50;96
Jogador 484;Feminino;19/06/1990;Dama;Chile;62;16;78
Jogador 485;Feminino;18/04/1999;Jogo da velha;Argentina;4;30;34
Jogador 486;Masculino;02/03/1999;Jogo da velha;Brasil;1;0;1
Jogador 487;Feminino;26/06/2002;Jogo da velha;Paraguai;49;35;84
Jogador 488;Feminino;28/10/1953;Xadrez;Paraguai;31;0;31
Jogador 489;Feminino;22/02/1984;Dama;Paraguai;11;43;54
Jogador 490;Masculino;15/09/2003;Xadrez;Brasil;1;2;3
Jogador 491;Masculino;27/05/1981;Dama;Argentina;16;1;
Jogador 492;Feminino;25/10/1989;Xadrez;Paraguai;1;23;24
Jogador 493;Feminino;21/09/2001;Jogo da velha;Uruguai;;6;25
Jogador 494;Feminino;07/11/1977;Dama;Uruguai;31;11;42
Jogador 495;Feminino;03/06/1974;Dama;Chile;52;28;80
Jogador 496;Masculino;09/02/1959;Dama;Chile;13;51;64
Jogador 497;Masculino;06/01/1962;Jogo da velha;Argentina;57;;80
Jogador 498;Masculino;28/09/1958;Jogo da velha;Chile;5;3;8
Jogador 499;Feminino;08/10/2004;Jogo da velha;Paraguai;1;86;87
